City_ID,City,Country,Weather Description,Max Temp,Lat,Lng,Hotel Name
434,Tacoronte,ES,scattered clouds,78.13,28.4769,-16.4102,Casa Laurel
435,Naze,JP,heavy intensity rain,77.92,28.3667,129.4833,Shishime Hotel
440,Sur,OM,few clouds,81.64,22.5667,59.5289,Sur Plaza Hotel
441,Yarmouth,US,clear sky,83.08,41.7057,-70.2286,Blue Rock Resort
444,The Valley,AI,clear sky,85.82,18.217,-63.0578,CeBlue Villas & Beach Resort
448,Rosignano Marittimo,IT,clear sky,77.88,43.4079,10.4729,Hotel Elba
451,Mantua,IT,broken clouds,79.84,45.1667,10.7833,Hotel la Favorita
452,Basco,PH,overcast clouds,85.23,20.4487,121.9702,Nathaniel's Lodge
454,Guerrero Negro,MX,scattered clouds,79.68,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
462,Jinxiang,CN,broken clouds,77.85,27.4327,120.6062,Wolong Village
464,San Cristobal,VE,scattered clouds,75.92,7.7669,-72.225,Pirineos
465,Cayenne,GF,clear sky,79.09,4.9333,-52.3333,Hôtel Le Dronmi
467,Ugoofaaru,MV,moderate rain,81.82,5.6667,73.0,Ungoofaaru Inn
469,Yumen,CN,broken clouds,77.94,40.2833,97.2,
475,Salar,ES,clear sky,81.09,37.1499,-4.0191,Cortijo de Tajar Hotel
476,Teknaf,BD,overcast clouds,80.2,20.8624,92.3058,Forestry Guesthouse
479,Lexington Park,US,broken clouds,87.73,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
482,Wajir,KE,broken clouds,76.23,1.7471,40.0573,Mahatallah Hotel
485,Filotion,GR,clear sky,77.23,37.05,25.5,Chalki Residence Group
486,Nuevo Progreso,MX,broken clouds,85.46,23.1667,-97.95,Balneario Rio el Paraiso
488,Samarai,PG,overcast clouds,78.01,-10.6167,150.6667,Nuli Sapi
491,Ghogha,IN,overcast clouds,82.15,21.6833,72.2833,"GUEST HOUSE,GHOGHA"
493,Doctor Juan Manuel Frutos,PY,overcast clouds,75.06,-25.3667,-55.8,Balneario Las Burbujas
497,Makakilo City,US,overcast clouds,83.68,21.3469,-158.0858,Marriott's Ko Olina Beach Club
503,Fort-Shevchenko,KZ,light rain,78.49,44.5086,50.263,Oasis hotel Bautino
507,Powell,US,overcast clouds,83.84,40.1578,-83.0752,The Brig
508,Xihe,CN,overcast clouds,78.4,31.6864,113.4659,Junyi Apartment Guest Room
509,Skowhegan,US,broken clouds,85.15,44.7651,-69.7192,"Yogi Bear's Jellystone Park™ at Yonderhill in Madison, ME"
511,Wanning,CN,overcast clouds,78.28,18.8003,110.3967,Paradise Hotel
516,Puerto Del Rosario,ES,clear sky,78.55,28.5004,-13.8627,Hotel JM Puerto del Rosario
519,Xiashi,CN,scattered clouds,77.02,30.5363,120.6864,皮都锦江大酒店
522,Macon,US,overcast clouds,85.75,39.8667,-88.9668,Haworth Cottage
532,Laem Sing,TH,overcast clouds,83.97,12.4816,102.0738,Laemsing Whitehouse Resort
533,Ahuimanu,US,scattered clouds,85.75,21.4447,-157.8378,Paradise Bay Resort
536,San Ignacio,BZ,overcast clouds,85.71,17.1561,-89.0714,Rainforest Haven Inn
539,Aswan,EG,few clouds,89.83,24.0934,32.907,Nuba Nile
540,Urbano Santos,BR,overcast clouds,80.89,-3.2078,-43.4036,Pousada Santa Dulce
541,Goderich,CA,scattered clouds,76.91,43.7501,-81.7165,Harmony Inn
547,Isangel,VU,broken clouds,76.01,-19.55,169.2667,Tanna Lodge
548,Qui Nhon,VN,overcast clouds,77.99,13.7667,109.2333,Seagull Hotel
