City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
136,Broken Hill,-31.95,141.4333,46.67,92,100,12.19,AU,2022-07-20 19:01:22
137,Shingu,33.7333,135.9833,74.82,72,100,5.12,JP,2022-07-20 19:00:05
138,Iquique,-20.2208,-70.1431,63.81,67,100,3.76,CL,2022-07-20 19:02:20
139,San Patricio,28.017,-97.5169,95.09,43,0,20.09,US,2022-07-20 19:02:23
140,Karratha,-20.7377,116.8463,66.56,62,1,3.74,AU,2022-07-20 19:02:05
141,Laguna,38.421,-121.4238,98.08,34,0,5.75,US,2022-07-20 18:58:45
142,Zhigansk,66.7697,123.3711,48.29,70,99,15.5,RU,2022-07-20 19:02:24
143,Palu,-0.8917,119.8707,74.89,91,4,2.98,ID,2022-07-20 19:02:24
144,Outlook,51.5001,-107.0513,73.24,36,0,17.18,CA,2022-07-20 19:00:36
145,Innisfail,-17.5333,146.0333,66.09,88,90,5.35,AU,2022-07-20 18:59:33
146,Port Elizabeth,-33.918,25.5701,57.09,95,100,3.0,ZA,2022-07-20 19:02:25
147,Narsaq,60.9167,-46.05,57.42,85,94,2.59,GL,2022-07-20 19:02:26
148,Chancay,-11.5714,-77.2672,64.54,75,82,8.95,PE,2022-07-20 19:02:26
149,Geraldton,-28.7667,114.6,68.41,88,75,13.8,AU,2022-07-20 18:57:33
150,Russell,32.3502,-85.1999,93.38,46,41,2.64,US,2022-07-20 19:02:27
151,Port-Gentil,-0.7193,8.7815,75.16,88,100,9.22,GA,2022-07-20 19:02:28
152,Ust-Tsilma,65.441,52.1498,64.33,64,59,5.26,RU,2022-07-20 19:02:28
153,Elizabeth City,36.2946,-76.2511,96.06,65,63,14.05,US,2022-07-20 19:02:29
154,East London,-33.0153,27.9116,62.51,81,87,5.95,ZA,2022-07-20 19:01:51
155,Clyde River,70.4692,-68.5914,39.43,100,100,9.22,CA,2022-07-20 18:59:09
156,Kudymkar,59.0173,54.656,53.69,93,94,3.91,RU,2022-07-20 19:02:30
157,Mahibadhoo,3.7833,72.9667,78.98,80,100,12.8,MV,2022-07-20 19:02:02
158,Carnarvon,-24.8667,113.6333,70.81,77,0,16.53,AU,2022-07-20 19:02:30
159,Matamoros,25.5333,-103.25,95.11,21,40,5.75,MX,2022-07-20 19:02:31
160,Kattivakkam,13.2167,80.3167,84.07,83,93,12.24,IN,2022-07-20 19:02:31
161,Longyan,25.1072,117.0225,75.09,96,100,2.42,CN,2022-07-20 19:02:32
162,Broome,42.2506,-75.833,94.69,50,0,3.0,US,2022-07-20 18:58:40
163,Chokurdakh,70.6333,147.9167,41.13,77,76,8.55,RU,2022-07-20 19:02:33
164,Umea,63.8284,20.2597,62.53,72,0,4.61,SE,2022-07-20 19:02:33
165,Arraial Do Cabo,-22.9661,-42.0278,75.16,78,40,10.36,BR,2022-07-20 18:58:59
166,Buala,-8.145,159.5921,78.73,82,100,6.64,SB,2022-07-20 18:58:37
167,Naryan-Mar,67.6713,53.087,50.97,85,8,13.87,RU,2022-07-20 19:02:34
168,Nana,44.2667,26.5833,84.72,29,0,4.5,RO,2022-07-20 19:02:35
169,Saint-Philippe,-21.3585,55.7679,67.59,75,38,15.37,RE,2022-07-20 18:58:16
170,Hamilton,39.1834,-84.5333,93.88,65,75,16.11,US,2022-07-20 19:02:36
171,Alanya,36.5438,31.9998,82.42,58,0,3.0,TR,2022-07-20 18:58:00
172,Hammerfest,70.6634,23.6821,63.05,67,0,8.05,NO,2022-07-20 19:02:37
173,Salym,60.0625,71.4789,60.06,84,99,4.16,RU,2022-07-20 19:02:37
174,Krasnovishersk,60.4078,57.082,55.27,94,72,1.41,RU,2022-07-20 19:02:38
175,Pietarsaari,63.65,22.6833,64.47,70,35,2.19,FI,2022-07-20 19:02:38
176,Codrington,-38.2667,141.9667,38.57,84,0,8.5,AU,2022-07-20 19:02:39
177,Sandviken,60.6167,16.7667,73.31,53,75,4.03,SE,2022-07-20 19:02:39
178,Ambilobe,-13.2,49.05,70.05,65,8,10.2,MG,2022-07-20 19:02:40
179,Fairhope,30.523,-87.9033,93.74,77,40,5.75,US,2022-07-20 19:02:41
180,Lompoc,34.6391,-120.4579,91.69,67,42,3.0,US,2022-07-20 18:59:22
181,Acapulco,16.8634,-99.8901,87.66,69,24,6.31,MX,2022-07-20 19:00:52
182,Avera,33.194,-82.5271,89.38,44,98,9.89,US,2022-07-20 19:03:41
183,Mount Pleasant,32.7941,-79.8626,91.13,89,75,14.97,US,2022-07-20 19:00:36
184,Xining,36.6167,101.7667,54.28,72,92,2.71,CN,2022-07-20 19:03:42
185,Husavik,66.0449,-17.3389,46.18,87,100,7.56,IS,2022-07-20 19:03:43
186,Turukhansk,65.8167,87.9833,51.17,94,100,8.19,RU,2022-07-20 19:01:06
187,Cap-Aux-Meules,47.3821,-61.8597,64.13,81,99,24.23,CA,2022-07-20 19:03:44
188,Mananjary,-21.2167,48.3333,66.72,87,60,6.49,MG,2022-07-20 19:03:44
189,Arlit,18.7369,7.3853,93.63,29,68,7.29,NE,2022-07-20 19:03:45
190,Pamplona,42.8169,-1.6432,71.51,64,20,17.27,ES,2022-07-20 19:03:45
191,Lazaro Cardenas,17.9583,-102.2,88.54,64,8,8.12,MX,2022-07-20 19:03:46
192,Muros,42.7762,-9.0603,79.68,69,2,14.65,ES,2022-07-20 19:03:46
193,Meulaboh,4.1363,96.1285,75.87,87,100,3.62,ID,2022-07-20 19:03:47
194,La Reforma,25.0833,-108.05,92.12,51,46,9.1,MX,2022-07-20 19:03:47
195,Port Hardy,50.6996,-127.4199,59.81,79,3,7.43,CA,2022-07-20 19:03:48
196,Madang,-5.2246,145.7966,75.6,92,100,2.75,PG,2022-07-20 19:03:48
197,Naze,28.3667,129.4833,81.1,89,80,16.11,JP,2022-07-20 19:03:49
198,Upernavik,72.7868,-56.1549,48.47,69,46,9.26,GL,2022-07-20 19:03:49
199,Kungurtug,50.5994,97.5228,47.57,78,100,0.72,RU,2022-07-20 19:01:44
200,Zaranj,30.9667,61.8833,96.87,11,1,17.92,AF,2022-07-20 19:03:50
201,Esperance,-33.8667,121.9,61.56,52,100,19.13,AU,2022-07-20 19:03:51
202,Brownwood,31.7093,-98.9912,111.2,30,8,8.21,US,2022-07-20 19:03:51
203,Tessalit,20.1986,1.0114,78.57,66,97,6.51,ML,2022-07-20 19:03:52
204,Saskylakh,71.9167,114.0833,37.27,90,68,12.39,RU,2022-07-20 19:03:52
205,Pevek,69.7008,170.3133,31.26,94,98,13.4,RU,2022-07-20 18:58:53
206,Naklo Nad Notecia,53.1421,17.6018,82.44,38,96,9.48,PL,2022-07-20 19:03:53
207,Oriximina,-1.7656,-55.8661,84.94,62,90,3.49,BR,2022-07-20 19:03:54
208,Itarema,-2.9248,-39.9167,82.36,62,88,15.61,BR,2022-07-20 19:03:54
209,Torbay,47.6666,-52.7314,70.57,77,88,7.0,CA,2022-07-20 19:00:44
210,Ponta Do Sol,32.6667,-17.1,76.71,77,2,4.74,PT,2022-07-20 19:03:55
211,Praya,14.9215,-23.5087,79.21,77,54,3.67,CV,2022-07-20 19:01:14
212,Yamoussoukro,6.8206,-5.2767,72.57,80,100,3.87,CI,2022-07-20 19:03:55
213,Nikolskoye,59.7035,30.7861,71.87,57,100,11.52,RU,2022-07-20 19:03:56
214,Mecca,21.4267,39.8261,90.32,41,82,1.74,SA,2022-07-20 19:00:10
215,North Bend,43.4065,-124.2243,65.16,88,100,4.61,US,2022-07-20 19:00:34
216,Ferrol,43.4832,-8.2369,72.12,79,1,18.54,ES,2022-07-20 19:03:57
217,Faya,18.3851,42.4509,66.72,61,100,7.83,SA,2022-07-20 19:03:57
218,Farafangana,-22.8167,47.8333,68.2,84,80,10.4,MG,2022-07-20 19:02:15
219,Itambe,-15.245,-40.6244,75.43,60,98,5.35,BR,2022-07-20 19:03:58
220,Longyearbyen,78.2186,15.6401,49.84,87,75,10.36,SJ,2022-07-20 19:03:59
221,Shimoda,34.6667,138.95,76.1,83,100,3.2,JP,2022-07-20 19:03:59
222,Sarangani,5.4033,125.4636,82.4,72,90,2.26,PH,2022-07-20 19:04:00
223,High Level,58.5169,-117.136,75.24,30,5,10.85,CA,2022-07-20 19:00:37
224,Mocuba,-16.8392,36.9856,66.88,82,23,3.69,MZ,2022-07-20 19:04:01
225,Riyadh,24.6877,46.7219,98.74,9,98,10.85,SA,2022-07-20 19:00:17
226,Areka,7.0667,37.7,59.4,88,100,2.77,ET,2022-07-20 19:05:02
227,Sijunjung,-0.6876,100.9537,70.05,95,89,2.15,ID,2022-07-20 19:05:03
228,Darnah,32.767,22.6367,75.96,66,0,25.28,LY,2022-07-20 19:05:03
229,Byron Bay,-28.65,153.6167,55.94,72,100,15.5,AU,2022-07-20 19:05:04
230,Ishinomaki,38.4167,141.3,69.04,93,61,5.64,JP,2022-07-20 19:05:04
231,Buin,-33.7333,-70.75,72.43,38,0,3.04,CL,2022-07-20 19:05:05
232,Port Blair,11.6667,92.75,78.48,83,100,9.15,IN,2022-07-20 19:05:05
233,Nelson Bay,-32.7167,152.15,61.0,77,43,11.99,AU,2022-07-20 19:01:23
234,Hovd,48.0056,91.6419,55.94,57,13,3.38,MN,2022-07-20 19:05:06
235,Vestmannaeyjar,63.4427,-20.2734,54.59,87,20,16.11,IS,2022-07-20 19:05:07
236,Puerto Escondido,15.85,-97.0667,88.63,62,75,5.75,MX,2022-07-20 19:04:35
237,Shimanovsk,52.0,127.7,58.28,91,16,5.06,RU,2022-07-20 19:05:07
238,Troitsko-Pechorsk,62.7084,56.1964,58.68,91,99,1.81,RU,2022-07-20 19:05:08
239,Qaqortoq,60.7167,-46.0333,53.89,79,82,6.08,GL,2022-07-20 19:05:09
240,Taraz,42.9,71.3667,75.61,29,0,4.47,KZ,2022-07-20 19:04:06
241,Sainte-Suzanne,-20.9061,55.6089,69.98,69,75,17.27,RE,2022-07-20 19:05:09
242,Ewa Beach,21.3156,-158.0072,80.6,62,40,16.11,US,2022-07-20 19:05:02
243,Oranjemund,-28.55,16.4333,53.91,80,18,20.8,NA,2022-07-20 19:05:10
244,Ous,60.9058,61.5186,58.6,96,100,7.07,RU,2022-07-20 19:05:11
245,Gornopravdinsk,60.05,69.9,61.97,77,99,4.16,RU,2022-07-20 19:05:12
246,Sabha,27.0377,14.4283,87.26,18,0,9.98,LY,2022-07-20 19:05:12
247,Mantua,45.1667,10.7833,91.09,50,0,1.99,IT,2022-07-20 19:05:13
248,Grindavik,63.8424,-22.4338,52.27,82,75,17.27,IS,2022-07-20 19:03:36
249,Tateyama,34.9833,139.8667,77.09,83,24,7.94,JP,2022-07-20 19:05:13
250,Bandarbeyla,9.4942,50.8122,77.94,66,98,26.31,SO,2022-07-20 19:05:14
251,Sisimiut,66.9395,-53.6735,49.03,76,100,4.16,GL,2022-07-20 19:03:15
252,Basco,20.4487,121.9702,85.39,76,25,11.97,PH,2022-07-20 19:05:15
253,Pio Xii,-3.8325,-45.1525,89.73,42,88,3.22,BR,2022-07-20 19:05:16
254,Nampa,43.5407,-116.5635,94.03,23,0,5.75,US,2022-07-20 19:05:16
255,Vila Velha,-20.3297,-40.2925,76.95,77,0,11.5,BR,2022-07-20 19:05:17
256,Provideniya,64.3833,-173.3,42.57,77,99,17.36,RU,2022-07-20 19:05:18
257,Kahului,20.8947,-156.47,78.82,61,20,14.97,US,2022-07-20 19:05:18
258,Hanna,51.6334,-111.9018,70.86,45,0,5.99,CA,2022-07-20 19:00:34
259,Alofi,-19.0595,-169.9187,76.05,71,1,24.34,NU,2022-07-20 19:05:19
260,Matara,5.9485,80.5353,77.56,88,92,12.57,LK,2022-07-20 19:05:19
261,Acari,-15.4311,-74.6158,74.25,51,62,8.55,PE,2022-07-20 19:05:20
262,Ballina,-28.8667,153.5667,56.01,94,100,15.43,AU,2022-07-20 19:05:20
263,Daugavpils,55.8833,26.5333,58.28,72,0,7.85,LV,2022-07-20 19:00:33
264,Sibolga,1.7427,98.7792,75.85,88,97,3.36,ID,2022-07-20 19:05:21
265,Buckeye,33.3703,-112.5838,106.38,27,88,3.44,US,2022-07-20 19:03:04
266,Faanui,-16.4833,-151.75,77.56,66,0,9.64,PF,2022-07-20 19:04:28
267,Victor Harbor,-35.5667,138.6167,43.68,78,38,7.43,AU,2022-07-20 19:05:22
268,Jiuquan,39.7432,98.5174,60.46,75,100,16.84,CN,2022-07-20 19:05:23
269,Moerai,-22.4333,-151.3333,71.71,72,100,35.32,PF,2022-07-20 19:05:24
270,Tucupita,9.0622,-62.051,82.92,84,100,3.56,VE,2022-07-20 19:06:24
271,Sitka,57.0531,-135.33,53.49,82,100,11.5,US,2022-07-20 19:06:24
272,Dakar,14.6937,-17.4441,83.28,82,100,10.67,SN,2022-07-20 19:06:25
273,Domoni,-12.2569,44.5319,74.05,75,0,4.5,KM,2022-07-20 19:06:25
274,Apopka,28.6806,-81.5095,96.1,50,37,7.18,US,2022-07-20 19:06:26
275,Vardo,70.3705,31.1107,53.58,94,100,0.0,NO,2022-07-20 19:06:26
276,Abnub,27.2696,31.1511,89.96,21,2,9.69,EG,2022-07-20 19:06:27
277,Guerrero Negro,27.9769,-114.0611,82.36,47,27,12.12,MX,2022-07-20 19:06:28
278,Santiago,-33.4569,-70.6483,71.55,34,2,3.58,CL,2022-07-20 19:02:10
279,Komsomolskiy,40.4272,71.7189,83.12,32,0,9.22,UZ,2022-07-20 19:06:29
280,Rauseni,47.5667,27.2,80.24,43,5,13.6,RO,2022-07-20 19:06:29
281,Ulcinj,41.9294,19.2244,86.22,43,0,10.42,ME,2022-07-20 19:06:30
282,Strathpeffer,57.588,-4.5382,64.15,71,51,8.19,GB,2022-07-20 19:06:30
283,Flinders,-34.5833,150.8552,51.19,93,100,4.0,AU,2022-07-20 19:06:31
284,Yar-Sale,66.8333,70.8333,52.45,73,1,11.68,RU,2022-07-20 19:06:31
285,Choya,52.0108,86.5467,54.27,75,27,4.83,RU,2022-07-20 19:06:32
286,Eyl,7.9803,49.8164,75.42,80,48,20.47,SO,2022-07-20 19:02:19
287,Tahta,26.7693,31.5021,91.33,19,58,8.86,EG,2022-07-20 19:06:33
288,Oktyabrskiy,54.4815,53.471,59.11,80,93,3.02,RU,2022-07-20 19:06:33
289,Pitimbu,-7.4706,-34.8086,77.59,82,66,11.68,BR,2022-07-20 19:06:34
290,Cabedelo,-6.9811,-34.8339,77.67,81,36,12.71,BR,2022-07-20 19:06:34
291,Samarai,-10.6167,150.6667,79.92,80,27,9.06,PG,2022-07-20 19:06:35
292,Vao,-22.6667,167.4833,73.85,87,93,8.28,NC,2022-07-20 19:06:36
293,Newcastle,-32.9272,151.7765,60.71,85,88,5.01,AU,2022-07-20 19:06:37
294,San Javier,37.8063,-0.8374,86.58,72,75,9.22,ES,2022-07-20 19:06:37
295,Pingliang,35.5392,106.6861,63.3,88,0,3.78,CN,2022-07-20 19:06:38
